timestamp,SOL/USDT_2025_5T,BNSOL/USDT_2025_5T
2025-01-02 00:20:00,195.08,199.1
2025-01-02 00:25:00,195.17,199.9
2025-01-02 00:30:00,195.8,200.5
2025-01-02 00:35:00,196.4,201.0
2025-01-02 00:40:00,196.31,201.0
2025-01-02 00:45:00,196.88,201.6
2025-01-02 00:50:00,196.73,201.7
2025-01-02 00:55:00,196.25,201.0
2025-01-02 01:00:00,197.42,202.0
2025-01-02 01:05:00,197.88,202.7
2025-01-02 01:10:00,197.83,202.6
2025-01-02 01:15:00,197.74,202.4
2025-01-02 01:20:00,197.29,202.1
2025-01-02 01:25:00,197.03,201.9
2025-01-02 01:30:00,196.31,201.2
2025-01-02 01:35:00,197.02,201.8
2025-01-02 01:40:00,197.56,202.3
2025-01-02 01:45:00,197.4,202.2
2025-01-02 01:50:00,197.26,202.1
2025-01-02 01:55:00,197.71,202.4
2025-01-02 02:00:00,197.56,202.7
2025-01-02 02:05:00,198.15,203.0
2025-01-02 02:10:00,198.11,203.1
2025-01-02 02:15:00,197.78,202.4
2025-01-02 02:20:00,198.37,203.2
2025-01-02 02:25:00,198.7,203.6
2025-01-02 02:30:00,198.29,203.1
2025-01-02 02:35:00,198.69,203.5
2025-01-02 02:40:00,198.74,203.7
2025-01-02 02:45:00,198.69,203.4
2025-01-02 02:50:00,198.93,203.7
2025-01-02 02:55:00,199.41,204.1
2025-01-02 03:00:00,199.02,203.9
2025-01-02 03:05:00,198.53,203.5
2025-01-02 03:10:00,198.43,203.2
2025-01-02 03:15:00,198.24,203.1
2025-01-02 03:20:00,198.35,203.1
2025-01-02 03:25:00,198.65,203.5
2025-01-02 03:30:00,198.32,203.0
2025-01-02 03:35:00,197.89,202.7
2025-01-02 03:40:00,197.89,202.6
2025-01-02 03:45:00,198.34,203.3
2025-01-02 03:50:00,198.56,203.4
2025-01-02 03:55:00,198.54,203.4
2025-01-02 04:00:00,198.76,203.6
2025-01-02 04:05:00,199.15,203.5
2025-01-02 04:10:00,199.89,204.6
2025-01-02 04:15:00,199.56,204.3
2025-01-02 04:20:00,199.69,204.6
2025-01-02 04:25:00,200.13,204.6
2025-01-02 04:30:00,201.9,206.8
2025-01-02 04:35:00,203.3,208.3
2025-01-02 04:40:00,204.22,209.3
2025-01-02 04:45:00,204.45,209.5
2025-01-02 04:50:00,204.55,209.5
2025-01-02 04:55:00,204.47,209.2
2025-01-02 05:00:00,203.85,208.7
2025-01-02 05:05:00,203.63,208.5
2025-01-02 05:10:00,203.72,208.6
2025-01-02 05:15:00,204.42,209.3
2025-01-02 05:20:00,204.41,209.4
2025-01-02 05:25:00,204.99,209.9
2025-01-02 05:30:00,205.25,210.2
2025-01-02 05:35:00,205.03,210.0
2025-01-02 05:40:00,205.0,209.8
2025-01-02 05:45:00,204.74,209.7
2025-01-02 05:50:00,204.68,209.6
2025-01-02 05:55:00,204.62,209.4
2025-01-02 06:00:00,204.52,209.5
2025-01-02 06:05:00,205.02,209.8
2025-01-02 06:10:00,204.72,209.8
2025-01-02 06:15:00,204.22,209.1
2025-01-02 06:20:00,204.41,209.3
2025-01-02 06:25:00,204.54,209.5
2025-01-02 06:30:00,204.85,209.7
2025-01-02 06:35:00,205.46,210.1
2025-01-02 06:40:00,205.27,210.3
2025-01-02 06:45:00,205.23,210.2
2025-01-02 06:50:00,205.24,210.2
2025-01-02 06:55:00,205.36,210.4
2025-01-02 07:00:00,205.39,210.4
2025-01-02 07:05:00,205.41,210.3
2025-01-02 07:10:00,205.99,210.7
2025-01-02 07:15:00,205.63,210.7
2025-01-02 07:20:00,205.88,210.8
2025-01-02 07:25:00,206.59,211.4
2025-01-02 07:30:00,206.55,211.6
2025-01-02 07:35:00,206.56,211.4
2025-01-02 07:40:00,206.21,211.1
2025-01-02 07:45:00,205.93,210.9
2025-01-02 07:50:00,206.0,210.9
2025-01-02 07:55:00,205.91,210.6
2025-01-02 08:00:00,206.09,210.8
2025-01-02 08:05:00,206.19,210.9
2025-01-02 08:10:00,206.49,211.2
2025-01-02 08:15:00,206.03,210.7
2025-01-02 08:20:00,205.79,210.9
2025-01-02 08:25:00,206.05,210.6
2025-01-02 08:30:00,206.51,211.3
2025-01-02 08:35:00,206.56,211.5
2025-01-02 08:40:00,207.05,211.9
2025-01-02 08:45:00,206.64,211.5
2025-01-02 08:50:00,207.03,211.7
2025-01-02 08:55:00,206.8,211.8
2025-01-02 09:00:00,206.68,211.5
2025-01-02 09:05:00,206.74,211.6
2025-01-02 09:10:00,206.66,211.4
2025-01-02 09:15:00,206.94,211.7
2025-01-02 09:20:00,207.31,212.1
2025-01-02 09:25:00,207.84,212.7
2025-01-02 09:30:00,207.21,212.1
2025-01-02 09:35:00,207.09,211.9
2025-01-02 09:40:00,207.17,212.0
2025-01-02 09:45:00,207.07,211.8
2025-01-02 09:50:00,207.04,211.8
2025-01-02 09:55:00,207.38,212.4
2025-01-02 10:00:00,207.15,211.8
2025-01-02 10:05:00,207.28,211.9
2025-01-02 10:10:00,207.1,211.8
2025-01-02 10:15:00,207.15,211.9
2025-01-02 10:20:00,207.19,211.9
2025-01-02 10:25:00,207.4,212.3
2025-01-02 10:30:00,207.47,212.1
2025-01-02 10:35:00,207.17,211.9
2025-01-02 10:40:00,206.86,211.5
2025-01-02 10:45:00,206.99,211.8
2025-01-02 10:50:00,206.94,211.8
2025-01-02 10:55:00,206.98,211.7
2025-01-02 11:00:00,207.27,211.9
2025-01-02 11:05:00,207.15,211.8
2025-01-02 11:10:00,207.17,211.9
2025-01-02 11:15:00,207.03,212.1
2025-01-02 11:20:00,207.12,211.9
2025-01-02 11:25:00,207.92,212.7
2025-01-02 11:30:00,208.24,213.1
2025-01-02 11:35:00,208.45,213.3
2025-01-02 11:40:00,208.66,213.5
2025-01-02 11:45:00,208.79,213.7
2025-01-02 11:50:00,208.54,213.5
2025-01-02 11:55:00,208.51,213.6
2025-01-02 12:00:00,208.75,213.7
2025-01-02 12:05:00,209.0,213.9
2025-01-02 12:10:00,209.22,214.2
2025-01-02 12:15:00,209.05,213.9
2025-01-02 12:20:00,208.86,213.6
2025-01-02 12:25:00,208.08,212.9
2025-01-02 12:30:00,208.61,213.4
2025-01-02 12:35:00,208.36,213.2
2025-01-02 12:40:00,208.48,213.2
2025-01-02 12:45:00,208.31,213.1
2025-01-02 12:50:00,208.25,213.1
2025-01-02 12:55:00,208.39,213.2
2025-01-02 13:00:00,208.25,213.1
2025-01-02 13:05:00,208.23,213.1
2025-01-02 13:10:00,208.02,212.7
2025-01-02 13:15:00,208.22,212.8
2025-01-02 13:20:00,208.17,212.8
2025-01-02 13:25:00,208.29,213.0
2025-01-02 13:30:00,208.34,213.1
2025-01-02 13:35:00,208.35,213.0
2025-01-02 13:40:00,208.4,213.1
2025-01-02 13:45:00,208.13,212.9
2025-01-02 13:50:00,207.69,212.5
2025-01-02 13:55:00,208.17,212.8
2025-01-02 14:00:00,206.91,211.6
2025-01-02 14:05:00,207.96,212.7
2025-01-02 14:10:00,207.92,212.6
2025-01-02 14:15:00,207.43,212.1
2025-01-02 14:20:00,207.95,212.7
2025-01-02 14:25:00,208.73,213.6
2025-01-02 14:30:00,208.66,213.7
2025-01-02 14:35:00,207.27,212.3
2025-01-02 14:40:00,208.35,213.2
2025-01-02 14:45:00,209.18,213.8
2025-01-02 14:50:00,208.43,213.3
2025-01-02 14:55:00,208.2,213.1
2025-01-02 15:00:00,207.76,212.6
2025-01-02 15:05:00,208.01,213.0
2025-01-02 15:10:00,207.76,212.6
2025-01-02 15:15:00,207.18,212.0
2025-01-02 15:20:00,206.17,211.2
2025-01-02 15:25:00,206.64,211.2
2025-01-02 15:30:00,205.72,210.5
2025-01-02 15:35:00,206.15,210.7
2025-01-02 15:40:00,206.03,210.7
2025-01-02 15:45:00,206.8,211.5
2025-01-02 15:50:00,206.79,211.6
2025-01-02 15:55:00,206.77,211.4
2025-01-02 16:00:00,206.2,210.9
2025-01-02 16:05:00,206.95,211.7
2025-01-02 16:10:00,207.2,212.2
2025-01-02 16:15:00,206.66,211.6
2025-01-02 16:20:00,207.65,212.6
2025-01-02 16:25:00,208.28,212.9
2025-01-02 16:30:00,208.36,212.8
2025-01-02 16:35:00,208.61,213.2
2025-01-02 16:40:00,208.78,213.3
2025-01-02 16:45:00,208.98,213.6
2025-01-02 16:50:00,207.95,212.5
2025-01-02 16:55:00,207.45,212.0
2025-01-02 17:00:00,207.81,212.4
2025-01-02 17:05:00,207.41,212.0
2025-01-02 17:10:00,208.0,212.7
2025-01-02 17:15:00,207.65,212.2
2025-01-02 17:20:00,207.58,212.1
2025-01-02 17:25:00,207.41,212.0
2025-01-02 17:30:00,206.92,211.5
2025-01-02 17:35:00,206.0,210.7
2025-01-02 17:40:00,205.88,210.6
2025-01-02 17:45:00,204.9,209.7
