,Pair,Total return (%),Sharpe ratio,Max drawdown (%),Number of trades,Non-stop loss win rate (%),Mean trade duration/Reversion speed from threshold (mins),Average entry beta,Mean Absolute Percent Delta Beta (%),Median Absolute Percent Delta Beta (%),Beta series returns std (%),Beta series returns MAD (%),Average S1 trade returns (%),Average S2 trade returns (%)
0,MANAUSDT_2024_5m ~ DOTUSDT_2024_5m,54.42659289785532,0.2191238498794165,8.0866870534685,124,63.70967741935484,340.0806451612903,0.05113917722736971,50.86900184171822,21.141486157401435,436.80056715577564,0.34812997091182574,-0.045883510823424345,0.10866539265913586
0,THETAUSDT_2024_5m ~ LTCUSDT_2024_5m,-73.29469357221022,-0.14961541323276736,80.3236224305642,114,56.14035087719298,422.5,0.030598959533354234,325.26822997949597,39.94622759865479,95.13891573680505,0.5804474252433911,-0.1525997363695616,-0.1752365165857489
0,IOTAUSDT_2024_5m ~ ADAUSDT_2024_5m,17.78224475676321,0.08660933387991858,14.32011826007605,120,65.83333333333333,413.875,0.43515209030001917,106.04780883097607,24.512043453249,252.74805196176447,0.3650346381060654,0.27853773693076816,0.31212340324223153
0,SANDUSDT_2024_5m ~ DOTUSDT_2024_5m,45.47495894074336,0.17701856127270127,7.270815471102606,114,60.526315789473685,370.35087719298247,0.04910737173625002,70.63520845944207,29.752256205021595,47.54768915002772,0.3182836962301261,0.09441226287411034,0.4564043069150761
0,IOTAUSDT_2024_5m ~ DOTUSDT_2024_5m,65.42373972437444,0.2285912421347948,10.374189206543264,128,59.375,386.6015625,0.029431664651589053,101.99928296881471,25.598162239825232,159.02531772216707,0.3709740296214403,-0.01846774693674927,0.3957057167024036
0,MANAUSDT_2024_5m ~ XLMUSDT_2024_5m,52.633617612723114,0.3128911882424829,5.857551051982009,130,68.46153846153847,360.1923076923077,4.601919943148011,134.0846075213767,16.83420412349465,89.976263296244,0.3419665671605565,0.06027752710397726,0.059576944369462675
0,FILUSDT_2024_5m ~ DOTUSDT_2024_5m,-14.776235208595415,-0.09600257012472323,21.342040197337013,114,63.1578947368421,411.57894736842104,0.7609923269582916,621.8798792694486,25.507766351027886,76.18519379539647,0.3646316559705154,-0.08578020203737112,0.12284339974759467
0,LDOUSDT_2024_5m ~ PAXGUSDT_2024_5m,51.18036005497962,0.0966183220388288,27.074445915346253,110,66.36363636363637,423.8636363636364,0.0009006962285371433,159.87872282738775,64.9721506175447,269.7177080342334,1.3184154939054116,-0.056570959806813044,0.03530170321788485
0,APTUSDT_2024_5m ~ XRPUSDT_2024_5m,-1.7137035779538858,-0.006817459587569891,22.317311355390178,117,55.55555555555556,410.7692307692308,18.457821107366414,267.60491095420105,38.48902572369152,94.00301046698996,0.5844185757302278,-0.10878143225994565,-0.05465496801960174
0,HBARUSDT_2024_5m ~ ETCUSDT_2024_5m,-87.19290684912757,-0.08220517154262988,92.3185931265396,117,61.53846153846154,402.991452991453,0.002810307250306171,121.4720535446011,26.87998313468741,486.90031894710603,0.48097180920509963,1.100928606227518,0.4112839142971475
0,CRVUSDT_2024_5m ~ ADAUSDT_2024_5m,-16.766080787446164,-0.07050913511558332,19.759633577438134,108,62.03703703703704,434.1203703703704,0.8151026914824494,142.813250255884,35.638892971373295,239.8661265573958,0.4579241338694917,-0.0751330592024676,-0.0893490603860768
0,AVAXUSDT_2024_5m ~ XRPUSDT_2024_5m,54.13601167957489,0.22742605735794616,10.264292688830565,125,66.4,421.16,81.16553830028259,319.1534724276127,34.92164799386253,302.8312690703443,0.506164262558817,0.3064721618198036,0.19303100632225703
0,HBARUSDT_2024_5m ~ VETUSDT_2024_5m,-7.830188883531617,-0.022913912429632793,33.653843630967486,105,62.857142857142854,373.57142857142856,1.88431522283987,224.83537494648903,28.334462933205184,112.99101874028653,0.42471710554308206,1.3687656539746786,0.14576456679173383
0,SEIUSDT_2024_5m ~ XRPUSDT_2024_5m,-0.545906452992598,-0.0022062415731441826,26.048653611266797,117,61.53846153846154,428.54700854700855,1.560772778470057,147.87685972002376,37.992791403209566,83.66907847647677,0.5898594901996068,0.18023742200248088,-0.05454121066438612
0,FLOWUSDT_2024_5m ~ XRPUSDT_2024_5m,15.496527033497706,0.08727674148616948,14.688765870793643,117,68.37606837606837,424.5726495726496,1.822172151107878,70.01349379334869,24.151659333456813,65.18065986009734,0.46042554784806455,-0.015411214940238237,0.07536108545353577
0,HBARUSDT_2024_5m ~ LTCUSDT_2024_5m,-80.15713510786728,-0.09680542073003529,88.10408601964316,104,56.730769230769226,409.75961538461536,0.0018472415014623444,198.02776945512258,33.670986935837064,222.96427930162136,0.5935841012541521,0.8209864407849911,-0.08129279798273971
0,HBARUSDT_2024_5m ~ NEXOUSDT_2024_5m,-29.199103315102548,-0.04497135342267933,46.04904463090917,138,59.42028985507246,364.5289855072464,0.0599803240051941,177.87128565724893,36.101689926281495,1105.4024462029533,0.6304008680879214,0.8014921931047787,0.22732452123903657
0,HBARUSDT_2024_5m ~ SHIBUSDT_2024_5m,28.537388050064237,0.0607163403420862,32.99596100070799,124,58.87096774193549,408.991935483871,4630.8991606628515,358.15959511465326,27.65101648391499,3388.129815276816,0.4693359898704008,1.0451172292504123,0.6285945031328316
0,AXSUSDT_2024_5m ~ XLMUSDT_2024_5m,46.26563563258848,0.21414000980965664,13.190723041469052,121,66.11570247933885,388.6363636363636,76.10170935019559,64.84454394517779,21.011423895034262,78.99436187425741,0.34386078005728127,0.04956370019704214,-0.104577276357803
0,TIAUSDT_2024_5m ~ PAXGUSDT_2024_5m,49.30514653664987,0.12134905607686908,16.162268162692687,118,67.79661016949152,422.58474576271186,0.005095461860055123,356.41032991968615,82.28018117067975,187.10172629658797,1.3068767840726858,-0.30367178330500294,-0.013250021762112525
0,ATOMUSDT_2024_5m ~ QNTUSDT_2024_5m,14.293191975233515,0.058069825928676995,13.760022252686177,105,60.952380952380956,386.5238095238095,0.060571346650042046,138.07421991652132,29.719806515409157,167.4765170211122,0.4965397128056326,-0.10079057482636992,-0.6380603777118661
0,JTOUSDT_2024_5m ~ BCHUSDT_2024_5m,130.3754986123464,0.2978022210000454,28.60667905595872,113,66.3716814159292,399.24778761061947,0.006665922863136787,139.07672473010336,57.5834275496054,2093.198732400951,0.8176455449039,-0.23026140922270188,-0.24120967792461054
0,XTZUSDT_2024_5m ~ QNTUSDT_2024_5m,31.005343197296686,0.09370445587105286,34.73294435023486,115,69.56521739130434,402.5217391304348,0.006004072956902265,84.69275878849939,27.5774736451296,144.9237520897665,0.4769881443982493,0.6220415326810486,0.004333983083581734
0,XTZUSDT_2024_5m ~ DOTUSDT_2024_5m,30.31013381456054,0.11019651907584677,11.19661214045532,112,62.5,385.0892857142857,0.10979658497551356,60.246962296648384,19.634302582527475,18.51813449897742,0.3622247174828619,-0.007095581673332558,0.14469584876505412
0,CRVUSDT_2024_5m ~ DOTUSDT_2024_5m,-19.0277409615368,-0.0446199977373048,35.51799338393288,108,58.333333333333336,434.25925925925924,0.0471036007642751,107.12562670998068,25.367241492666004,525.6396883472555,0.4386659511703028,-0.052437645559473264,-0.14461706690544576
0,FLOWUSDT_2024_5m ~ DOTUSDT_2024_5m,66.07055431556857,0.23549423050229262,6.4439593622454865,122,63.934426229508205,376.4754098360656,0.10873379009543147,129.30459569331032,21.612307862247306,71.66418784076886,0.3585755001525248,-0.610458731767563,-0.3911296346269159
0,SUIUSDT_2024_5m ~ QNTUSDT_2024_5m,56.09835159460999,0.13147785780275162,27.391304798470113,116,64.65517241379311,375.6896551724138,0.007464600435006434,102.81194036555921,37.639686897005696,108.94694980065664,0.7292251176376996,0.7167765790433095,0.24219536002216405
0,HBARUSDT_2024_5m ~ DOTUSDT_2024_5m,-6.1738361938540445,-0.011798061966599813,40.93976778605743,113,65.48672566371681,376.3274336283186,0.007516272751428748,119.86459052625061,22.78389313132606,32.44046755617323,0.420763096444432,0.6127503079424366,0.47548242035280275
