timestamp,BNSOL/USDT_2025_1H,SOL/USDT_2025_1H
2025-01-11 12:00:00,191.4,186.91
2025-01-11 13:00:00,191.1,186.54
2025-01-11 14:00:00,192.3,187.91
2025-01-11 15:00:00,191.4,186.95
2025-01-11 16:00:00,191.9,187.21
2025-01-11 17:00:00,191.1,186.62
2025-01-11 18:00:00,192.3,187.65
2025-01-11 19:00:00,192.3,187.75
2025-01-11 20:00:00,194.9,190.41
2025-01-11 21:00:00,195.9,191.01
2025-01-11 22:00:00,193.2,188.31
2025-01-11 23:00:00,192.8,188.09
2025-01-12 00:00:00,192.0,187.35
2025-01-12 01:00:00,192.3,187.59
2025-01-12 02:00:00,192.9,188.39
2025-01-12 03:00:00,191.8,187.31
2025-01-12 04:00:00,191.5,186.81
2025-01-12 05:00:00,191.2,186.68
2025-01-12 06:00:00,190.4,185.93
2025-01-12 07:00:00,191.0,186.57
2025-01-12 08:00:00,190.5,185.97
2025-01-12 09:00:00,190.5,185.82
2025-01-12 10:00:00,190.8,186.12
2025-01-12 11:00:00,191.3,186.68
2025-01-12 12:00:00,191.6,187.03
2025-01-12 13:00:00,192.7,188.06
2025-01-12 14:00:00,193.1,188.42
2025-01-12 15:00:00,195.3,190.45
2025-01-12 16:00:00,194.7,190.0
2025-01-12 17:00:00,194.7,189.91
2025-01-12 18:00:00,194.1,189.58
2025-01-12 19:00:00,193.7,188.9
2025-01-12 20:00:00,194.1,189.35
2025-01-12 21:00:00,193.3,188.45
2025-01-12 22:00:00,191.5,186.99
2025-01-12 23:00:00,193.4,188.51
2025-01-13 00:00:00,195.4,190.64
2025-01-13 01:00:00,192.0,187.42
2025-01-13 02:00:00,190.4,185.75
2025-01-13 03:00:00,189.5,185.03
2025-01-13 04:00:00,190.1,185.36
2025-01-13 05:00:00,188.5,183.89
2025-01-13 06:00:00,186.6,182.07
2025-01-13 07:00:00,186.9,182.46
2025-01-13 08:00:00,185.4,180.56
2025-01-13 09:00:00,184.7,179.98
2025-01-13 10:00:00,182.7,178.4
2025-01-13 11:00:00,179.6,175.41
2025-01-13 12:00:00,179.4,175.22
2025-01-13 13:00:00,180.1,175.89
2025-01-13 14:00:00,179.7,175.48
2025-01-13 15:00:00,183.1,178.8
2025-01-13 16:00:00,180.5,176.26
2025-01-13 17:00:00,180.6,176.37
2025-01-13 18:00:00,180.2,175.99
2025-01-13 19:00:00,181.8,177.6
2025-01-13 20:00:00,185.8,181.58
2025-01-13 21:00:00,186.2,181.89
2025-01-13 22:00:00,187.4,183.11
2025-01-13 23:00:00,187.2,182.87
2025-01-14 00:00:00,186.6,182.37
2025-01-14 01:00:00,187.0,182.63
2025-01-14 02:00:00,187.8,183.39
2025-01-14 03:00:00,188.8,184.19
2025-01-14 04:00:00,190.5,185.88
2025-01-14 05:00:00,189.6,185.19
2025-01-14 06:00:00,190.8,186.3
2025-01-14 07:00:00,190.2,185.61
2025-01-14 08:00:00,191.5,186.88
2025-01-14 09:00:00,194.1,189.45
2025-01-14 10:00:00,192.3,187.75
2025-01-14 11:00:00,191.6,187.06
