timestamp,BNSOL/USDT_2025_15T,SOL/USDT_2025_15T
2025-01-03 04:00:00,212.8,207.7
2025-01-03 04:15:00,212.4,207.45
2025-01-03 04:30:00,212.5,207.59
2025-01-03 04:45:00,212.8,207.72
2025-01-03 05:00:00,213.6,208.51
2025-01-03 05:15:00,213.4,208.49
2025-01-03 05:30:00,213.8,208.81
2025-01-03 05:45:00,213.7,208.87
2025-01-03 06:00:00,214.4,209.4
2025-01-03 06:15:00,214.5,209.53
2025-01-03 06:30:00,214.5,209.41
2025-01-03 06:45:00,212.6,207.77
2025-01-03 07:00:00,212.5,207.58
2025-01-03 07:15:00,212.3,207.38
2025-01-03 07:30:00,213.0,208.18
2025-01-03 07:45:00,212.7,207.95
2025-01-03 08:00:00,213.6,209.0
2025-01-03 08:15:00,214.4,209.54
2025-01-03 08:30:00,214.5,209.75
2025-01-03 08:45:00,214.3,209.36
2025-01-03 09:00:00,216.8,211.92
2025-01-03 09:15:00,216.6,211.7
2025-01-03 09:30:00,216.4,211.03
2025-01-03 09:45:00,216.2,211.2
2025-01-03 10:00:00,215.4,210.57
2025-01-03 10:15:00,215.9,211.05
2025-01-03 10:30:00,216.0,211.07
2025-01-03 10:45:00,216.2,211.13
2025-01-03 11:00:00,216.4,211.29
2025-01-03 11:15:00,217.3,212.36
2025-01-03 11:30:00,217.8,212.91
2025-01-03 11:45:00,219.7,214.51
2025-01-03 12:00:00,219.7,214.67
2025-01-03 12:15:00,219.2,214.25
2025-01-03 12:30:00,218.4,213.47
2025-01-03 12:45:00,218.4,213.4
2025-01-03 13:00:00,218.8,213.54
2025-01-03 13:15:00,217.3,212.33
2025-01-03 13:30:00,218.2,213.24
2025-01-03 13:45:00,217.9,212.92
2025-01-03 14:00:00,219.0,214.22
2025-01-03 14:15:00,220.2,215.38
2025-01-03 14:30:00,222.8,218.11
2025-01-03 14:45:00,223.0,218.3
2025-01-03 15:00:00,222.5,217.6
2025-01-03 15:15:00,222.2,217.24
