timestamp,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,BCH/USDT
2024-06-18,65175.32,3483.42,0.491,72.66,389.2
2024-06-19,64974.37,3560.51,0.4933,73.77,388.9
2024-06-20,64869.99,3513.08,0.4888,74.69,389.8
2024-06-21,64143.56,3518.5,0.4889,74.17,383.0
2024-06-22,64262.01,3495.75,0.4866,74.61,392.1
2024-06-23,63210.01,3420.91,0.4797,73.37,381.1
2024-06-24,60293.3,3352.73,0.474,69.68,363.8
2024-06-25,61806.01,3394.91,0.4757,71.35,388.6
2024-06-26,60864.99,3371.44,0.4698,71.02,374.0
2024-06-27,61706.47,3450.44,0.4753,73.28,389.0
2024-06-28,60427.84,3380.15,0.4716,72.9,386.0
2024-06-29,60986.68,3378.8,0.4727,74.95,380.9
2024-06-30,62772.01,3438.16,0.4761,75.31,394.0
2024-07-01,62899.99,3442.2,0.477,74.38,384.6
2024-07-02,62135.47,3421.35,0.4853,76.04,382.1
2024-07-03,60208.58,3295.48,0.4672,72.08,373.2
2024-07-04,57050.01,3059.7,0.4329,65.42,331.4
2024-07-05,56628.79,2981.78,0.4251,61.85,325.5
2024-07-06,58230.13,3066.83,0.4488,65.39,342.9
2024-07-07,55857.81,2931.0,0.4195,62.05,312.7
2024-07-08,56714.62,3019.01,0.4316,64.92,333.5
2024-07-09,58050.0,3066.65,0.4356,65.3,331.1
2024-07-10,57725.85,3101.05,0.4388,66.96,340.3
2024-07-11,57339.89,3099.57,0.4491,67.36,347.1
2024-07-12,57889.1,3133.88,0.4745,69.25,368.9
2024-07-13,59204.02,3175.93,0.5257,69.82,375.6
2024-07-14,60797.91,3245.08,0.5205,69.92,376.6
2024-07-15,64724.14,3483.39,0.5372,72.29,400.2
2024-07-16,65043.99,3444.13,0.5793,73.21,387.1
2024-07-17,64087.99,3387.05,0.626,71.38,375.1
2024-07-18,63987.92,3426.5,0.5697,71.63,382.8
2024-07-19,66660.0,3503.53,0.5733,73.4,391.4
2024-07-20,67139.96,3517.5,0.5937,73.03,395.5
2024-07-21,68165.34,3535.92,0.5984,73.98,401.3
2024-07-22,67532.01,3439.6,0.608,71.26,385.9
2024-07-23,65936.01,3482.51,0.5975,72.92,366.5
2024-07-24,65376.0,3335.81,0.6179,71.29,362.4
2024-07-25,65799.95,3175.48,0.5996,68.79,361.4
2024-07-26,67907.99,3274.61,0.6034,71.31,377.3
2024-07-27,67896.5,3249.01,0.5956,71.32,392.4
2024-07-28,68249.88,3270.16,0.6012,71.07,416.8
2024-07-29,66784.69,3317.66,0.6019,73.69,439.0
2024-07-30,66188.0,3279.21,0.6277,71.69,432.4
2024-07-31,64628.0,3232.74,0.623,70.14,413.9
2024-08-01,65354.02,3203.4,0.5964,69.59,413.3
2024-08-02,61498.33,2989.61,0.5607,65.06,381.6
2024-08-03,60697.99,2903.64,0.5558,64.65,364.4
2024-08-04,58161.0,2688.92,0.5228,62.46,332.5
2024-08-05,54018.81,2419.59,0.4889,56.08,309.9
2024-08-06,56022.01,2461.33,0.5062,58.25,315.0
2024-08-07,55134.16,2342.8,0.6002,55.99,312.4
2024-08-08,61685.99,2682.5,0.6166,61.16,353.1
2024-08-09,60837.99,2598.78,0.5805,60.72,347.6
2024-08-10,60923.51,2609.92,0.5841,61.16,354.9
2024-08-11,58712.59,2555.38,0.5528,59.73,330.2
2024-08-12,59346.64,2722.3,0.5684,61.5,354.9
2024-08-13,60587.15,2702.44,0.577,63.44,351.7
2024-08-14,58683.39,2661.45,0.5687,64.06,337.7
2024-08-15,57541.06,2569.89,0.5607,65.33,334.3
2024-08-16,58874.6,2592.73,0.5638,66.49,338.2
2024-08-17,59491.99,2614.51,0.5665,67.59,341.3
2024-08-18,58427.35,2612.15,0.5631,66.33,333.1
2024-08-19,59438.5,2636.36,0.5985,66.32,338.0
2024-08-20,59013.8,2572.82,0.5937,64.41,335.2
2024-08-21,61156.03,2630.71,0.5999,64.27,349.4
2024-08-22,60375.84,2622.88,0.5976,63.77,346.8
2024-08-23,64037.24,2762.48,0.6109,66.1,365.1
2024-08-24,64157.01,2768.0,0.6127,66.57,363.6
2024-08-25,64220.0,2746.13,0.6,64.82,356.3
2024-08-26,62834.0,2680.49,0.5874,63.01,342.3
2024-08-27,59415.0,2457.33,0.5666,60.38,324.2
2024-08-28,59034.9,2528.33,0.5693,61.82,322.1
2024-08-29,59359.01,2527.61,0.5619,62.47,322.5
2024-08-30,59123.99,2526.0,0.5667,64.94,324.9
2024-08-31,58973.99,2513.01,0.5662,64.97,322.4
2024-09-01,57301.86,2425.72,0.5472,63.59,312.7
2024-09-02,59132.13,2538.01,0.5677,65.33,323.7
2024-09-03,57487.73,2425.29,0.5572,64.36,308.9
2024-09-04,57970.9,2450.71,0.5579,65.42,315.2
2024-09-05,56180.0,2368.81,0.5444,66.08,307.6
2024-09-06,53962.97,2225.23,0.5211,63.05,295.0
2024-09-07,54160.86,2273.58,0.5248,62.07,299.4
2024-09-08,54869.95,2297.3,0.5295,60.95,305.4
2024-09-09,57042.0,2359.5,0.5395,61.42,322.2
2024-09-10,57635.99,2388.52,0.5408,61.51,329.5
2024-09-11,57338.0,2340.55,0.5348,62.19,337.6
2024-09-12,58132.32,2361.76,0.5626,62.84,333.0
2024-09-13,60498.0,2439.19,0.5728,64.91,335.5
2024-09-14,59993.03,2417.79,0.5956,65.91,327.0
2024-09-15,59132.0,2316.1,0.5706,63.24,316.4
2024-09-16,58213.99,2295.68,0.5866,62.62,311.8
2024-09-17,60313.99,2341.8,0.5839,63.77,314.3
2024-09-18,61759.99,2374.75,0.5852,64.84,327.0
2024-09-19,62947.99,2465.21,0.5868,65.4,340.0
2024-09-20,63201.05,2561.4,0.5851,65.33,335.8
2024-09-21,63348.96,2612.4,0.5976,66.84,345.5
