pair,pvalue,score
EOSUSDT_2024_5m & ALGOUSDT_2024_5m,0.0035544441103873793,-4.207424310513623
SEIUSDT_2024_5m & ATOMUSDT_2024_5m,0.007213514033693942,-3.9986366519723897
AXSUSDT_2024_5m & IOTAUSDT_2024_5m,0.007533640107724989,-3.9853760914405005
FETUSDT_2024_5m & THETAUSDT_2024_5m,0.007643915985417346,-3.980925627809195
INJUSDT_2024_5m & LDOUSDT_2024_5m,0.008179701195579458,-3.9600928350314337
JTOUSDT_2024_5m & NEARUSDT_2024_5m,0.008441798001825991,-3.9503454508945257
THETAUSDT_2024_5m & GRTUSDT_2024_5m,0.008790276115516627,-3.937798270439816
INJUSDT_2024_5m & ARBUSDT_2024_5m,0.008837505413574337,-3.9361322477172447
INJUSDT_2024_5m & SEIUSDT_2024_5m,0.009175929646781926,-3.924422628133933
HBARUSDT_2024_5m & ALGOUSDT_2024_5m,0.009486578156984511,-3.9140099628478335
ARBUSDT_2024_5m & TIAUSDT_2024_5m,0.009598288833780085,-3.9103400700859146
GALAUSDT_2024_5m & GRTUSDT_2024_5m,0.009640857709934197,-3.9089516612841257
SUIUSDT_2024_5m & EGLDUSDT_2024_5m,0.009829833009640365,-3.9028535933204758
SEIUSDT_2024_5m & CRVUSDT_2024_5m,0.010314753611692823,-3.8876724335574053
HBARUSDT_2024_5m & FILUSDT_2024_5m,0.011747764020781225,-3.8462640114454105
AXSUSDT_2024_5m & CRVUSDT_2024_5m,0.011939728788355983,-3.8410631632733594
MANAUSDT_2024_5m & ALGOUSDT_2024_5m,0.013334912346621887,-3.8053489128310733
IOTAUSDT_2024_5m & SEIUSDT_2024_5m,0.013548669997980602,-3.8001726509438023
EOSUSDT_2024_5m & FILUSDT_2024_5m,0.014520824661981215,-3.7775058179572647
AXSUSDT_2024_5m & XTZUSDT_2024_5m,0.014940769702650486,-3.768126586400385
XTZUSDT_2024_5m & FILUSDT_2024_5m,0.015497752259234467,-3.7560388569652354
AXSUSDT_2024_5m & FLOWUSDT_2024_5m,0.01667988877079531,-3.7316010973588
OPUSDT_2024_5m & INJUSDT_2024_5m,0.017614671755439338,-3.7133310414545866
HBARUSDT_2024_5m & STXUSDT_2024_5m,0.018726667144626192,-3.692671945799406
SANDUSDT_2024_5m & ATOMUSDT_2024_5m,0.020095087856923474,-3.6686712275021773
AXSUSDT_2024_5m & EOSUSDT_2024_5m,0.021844613789955183,-3.639977975926877
XTZUSDT_2024_5m & ATOMUSDT_2024_5m,0.022085262056779523,-3.636188672252505
IOTAUSDT_2024_5m & FILUSDT_2024_5m,0.022906421084898248,-3.6235222924785426
SUIUSDT_2024_5m & IOTAUSDT_2024_5m,0.02340137023498944,-3.6160762931435064
WLDUSDT_2024_5m & FILUSDT_2024_5m,0.02364292087612131,-3.61249173134867
OPUSDT_2024_5m & ATOMUSDT_2024_5m,0.024180666068239126,-3.60462393208788
SANDUSDT_2024_5m & ALGOUSDT_2024_5m,0.024359333783908085,-3.602043241753288
ARBUSDT_2024_5m & LDOUSDT_2024_5m,0.025270230806595306,-3.589134470027508
EOSUSDT_2024_5m & MANAUSDT_2024_5m,0.025873829709137954,-3.5807995939059216
HBARUSDT_2024_5m & IMXUSDT_2024_5m,0.029755237279158138,-3.530869565651212
APTUSDT_2024_5m & SANDUSDT_2024_5m,0.03132838628903011,-3.5122083081176543
EGLDUSDT_2024_5m & ATOMUSDT_2024_5m,0.0317580589024142,-3.5072502562237924
IOTAUSDT_2024_5m & APTUSDT_2024_5m,0.03202710866036557,-3.504174608432122
MANAUSDT_2024_5m & CRVUSDT_2024_5m,0.03276934935121932,-3.495802013866654
HBARUSDT_2024_5m & UNIUSDT_2024_5m,0.03409349206835756,-3.48125685076276
APTUSDT_2024_5m & ALGOUSDT_2024_5m,0.03587287258167539,-3.4624458398016325
FLOWUSDT_2024_5m & SANDUSDT_2024_5m,0.03850413646873262,-3.4360220773288606
HBARUSDT_2024_5m & MANAUSDT_2024_5m,0.03902666486286469,-3.430956288245886
ALGOUSDT_2024_5m & CRVUSDT_2024_5m,0.04203045997751208,-3.402890292961928
EGLDUSDT_2024_5m & TIAUSDT_2024_5m,0.04278674394879663,-3.396088812371316
FETUSDT_2024_5m & GALAUSDT_2024_5m,0.04352746490959746,-3.389523684043352
HBARUSDT_2024_5m & SANDUSDT_2024_5m,0.04354506356492991,-3.3893688386288066
AXSUSDT_2024_5m & APTUSDT_2024_5m,0.04423297887003414,-3.3833564610338445
IOTAUSDT_2024_5m & FLOWUSDT_2024_5m,0.04487035758586522,-3.3778547201106073
HBARUSDT_2024_5m & NEARUSDT_2024_5m,0.046461823360704944,-3.3643952760224862
EOSUSDT_2024_5m & HBARUSDT_2024_5m,0.046702213815514405,-3.362395549470507
ARBUSDT_2024_5m & EGLDUSDT_2024_5m,0.04727466247910358,-3.3576676027201913
FLOWUSDT_2024_5m & MANAUSDT_2024_5m,0.04728559715951105,-3.3575777531597604
