Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume
2025-02-13 13:00:00,95820.29000000,96301.59000000,95636.79000000,96074.66000000,1318.76591000,2025-02-13 13:59:59.999,126602660.52838450,284834,661.65933000,63526340.11301830
2025-02-13 14:00:00,96074.67000000,96104.49000000,95336.00000000,95857.03000000,1756.05228000,2025-02-13 14:59:59.999,168165530.38556070,337794,691.46674000,66231365.59767250
2025-02-13 15:00:00,95857.03000000,96480.06000000,95519.99000000,95998.00000000,1574.35787000,2025-02-13 15:59:59.999,151204201.79012390,312203,793.75900000,76248985.15819050
2025-02-13 16:00:00,95998.00000000,96002.24000000,95217.36000000,95359.22000000,1167.88640000,2025-02-13 16:59:59.999,111560264.69079000,224513,503.37963000,48088461.79316080
2025-02-13 17:00:00,95359.22000000,96023.58000000,95287.00000000,95692.09000000,825.45363000,2025-02-13 17:59:59.999,78977643.61934510,178524,421.26532000,40301864.43919010
2025-02-13 18:00:00,95692.08000000,95981.20000000,95320.75000000,95964.01000000,845.96591000,2025-02-13 18:59:59.999,80900181.39234440,217177,330.51513000,31615273.17213920
2025-02-13 19:00:00,95964.01000000,96361.58000000,95561.46000000,95627.76000000,850.37150000,2025-02-13 19:59:59.999,81602066.24746580,177057,422.01452000,40501573.63309620
2025-02-13 20:00:00,95627.75000000,96291.95000000,95600.00000000,96264.52000000,680.56341000,2025-02-13 20:59:59.999,65386866.19221880,152482,355.81598000,34179618.50885430
2025-02-13 21:00:00,96264.52000000,96774.71000000,96253.33000000,96488.00000000,718.62221000,2025-02-13 21:59:59.999,69360017.92075560,137237,347.38620000,33531684.21499390
2025-02-13 22:00:00,96487.99000000,96600.00000000,96265.16000000,96411.40000000,330.24155000,2025-02-13 22:59:59.999,31852196.25599870,69394,141.18735000,13616226.55580670
2025-02-13 23:00:00,96411.40000000,96630.00000000,96312.51000000,96608.14000000,408.14428000,2025-02-13 23:59:59.999,39375956.13939350,88123,192.50852000,18573710.74093030
2025-02-14 00:00:00,96608.13000000,96965.51000000,96531.36000000,96750.83000000,427.84311000,2025-02-14 00:59:59.999,41380114.85776370,74381,205.30358000,19859992.46007080
2025-02-14 01:00:00,96750.83000000,96884.62000000,96356.41000000,96529.27000000,463.70552000,2025-02-14 01:59:59.999,44789561.32845850,81463,194.60615000,18801839.12603870
2025-02-14 02:00:00,96529.28000000,96835.30000000,96441.27000000,96528.47000000,459.07477000,2025-02-14 02:59:59.999,44383593.51837540,81272,221.23532000,21393130.97338620
2025-02-14 03:00:00,96528.47000000,97190.00000000,96527.71000000,97129.98000000,455.17130000,2025-02-14 03:59:59.999,44099653.27107850,72584,247.81997000,24017903.12585580
2025-02-14 04:00:00,97129.98000000,97248.60000000,96750.00000000,96750.00000000,434.86356000,2025-02-14 04:59:59.999,42170713.84971180,60178,154.77820000,15017511.77264530
2025-02-14 05:00:00,96750.01000000,96908.16000000,96561.36000000,96683.29000000,432.68245000,2025-02-14 05:59:59.999,41863692.64072640,61545,143.38047000,13873934.23957100
2025-02-14 06:00:00,96683.30000000,96857.18000000,96611.11000000,96834.29000000,489.84611000,2025-02-14 06:59:59.999,47390691.06784140,55971,249.76861000,24162836.33469250
2025-02-14 07:00:00,96834.30000000,97075.33000000,96806.51000000,96944.09000000,425.14091000,2025-02-14 07:59:59.999,41225975.98729370,56864,227.75720000,22087474.79205950
2025-02-14 08:00:00,96944.09000000,97025.56000000,96799.99000000,96871.97000000,344.28951000,2025-02-14 08:59:59.999,33364653.06721420,56864,156.70135000,15186659.71482160
2025-02-14 09:00:00,96871.96000000,97153.50000000,96831.00000000,97108.31000000,553.35115000,2025-02-14 09:59:59.999,53696022.81312490,63482,314.72675000,30543479.66731610
2025-02-14 10:00:00,97108.31000000,97196.00000000,96962.26000000,97017.40000000,460.85165000,2025-02-14 10:59:59.999,44744391.23753120,70053,197.72257000,19198709.67102170
2025-02-14 11:00:00,97017.41000000,97143.20000000,96800.00000000,96887.56000000,399.89281000,2025-02-14 11:59:59.999,38772383.16879380,73535,172.30356000,16706749.24394020
2025-02-14 12:00:00,96887.55000000,96887.56000000,96516.20000000,96652.58000000,342.62053000,2025-02-14 12:59:59.999,33128958.04812840,78252,121.24830000,11723734.94911320
2025-02-14 13:00:00,96652.58000000,96980.00000000,96450.34000000,96786.68000000,601.84618000,2025-02-14 13:59:59.999,58227782.70320630,111718,274.48982000,26559843.99549570
2025-02-14 14:00:00,96786.68000000,97568.28000000,96572.00000000,97290.95000000,1394.19724000,2025-02-14 14:59:59.999,135389183.75876990,223155,745.00703000,72363066.05534450
2025-02-14 15:00:00,97290.95000000,97409.30000000,96252.82000000,96924.39000000,1660.70388000,2025-02-14 15:59:59.999,160581512.11592700,353272,778.20126000,75244035.79520580
2025-02-14 16:00:00,96924.57000000,97700.00000000,96494.17000000,97658.70000000,994.97707000,2025-02-14 16:59:59.999,96528292.25033070,265750,556.39437000,54010063.27505140
2025-02-14 17:00:00,97658.70000000,98826.00000000,97142.00000000,98526.00000000,2618.64400000,2025-02-14 17:59:59.999,256502995.51044260,380851,1565.97430000,153468643.83639590
2025-02-14 18:00:00,98525.99000000,98738.57000000,98166.66000000,98192.84000000,1370.44479000,2025-02-14 18:59:59.999,134910723.64033290,304535,634.20422000,62430153.35751650
2025-02-14 19:00:00,98192.84000000,98450.00000000,97656.00000000,97940.45000000,1025.49335000,2025-02-14 19:59:59.999,100610560.79282140,243450,479.61584000,47057570.81844240
2025-02-14 20:00:00,97940.44000000,98264.85000000,97003.28000000,97196.09000000,1052.02168000,2025-02-14 20:59:59.999,102805365.49450630,225682,437.02407000,42717554.21103280
2025-02-14 21:00:00,97196.10000000,97492.69000000,96697.56000000,97456.79000000,1072.77905000,2025-02-14 21:59:59.999,104126088.92504640,261638,634.06969000,61544569.45194600
2025-02-14 22:00:00,97456.78000000,97538.11000000,96922.23000000,97134.59000000,435.45827000,2025-02-14 22:59:59.999,42364379.01354280,149327,209.04012000,20339799.19594630
